scheme,scheme_id,target,positive_class,support,prevalence,predicted_prevalence,precision,recall,f1,false_positive_rate,average_precision,no_information_ap,ap_lift_over_prevalence
MuQ,muq_multitask,chest_resonance,0,112,0.032407407407407406,0.014467592592592593,0.08,0.03571428571428571,0.04938271604938271,0.01375598086124402,0.05661688428150702,0.032407407407407406,0.024209476874099613
MuQ,muq_multitask,head_resonance,0,145,0.04195601851851852,0.005787037037037037,0.05,0.006896551724137931,0.012121212121212121,0.005738447598912715,0.05415889017952443,0.04195601851851852,0.012202871661005914
MuQ,muq_multitask,front_placement,2,268,0.0775462962962963,0.048032407407407406,0.0963855421686747,0.05970149253731343,0.07373271889400922,0.04705144291091593,0.07800393136203101,0.0775462962962963,0.0004576350657347211
MuQ,muq_multitask,back_placement,2,128,0.037037037037037035,0.012152777777777778,0.11904761904761904,0.0390625,0.058823529411764705,0.011117788461538462,0.052815185321382456,0.037037037037037035,0.01577814828434542
MuQ,muq_multitask,open_throat,3,54,0.015625,0.004918981481481482,0.058823529411764705,0.018518518518518517,0.028169014084507043,0.004703115814226925,0.03143720353453977,0.015625,0.01581220353453977
MuQ,muq_multitask,breathiness,1,395,0.11429398148148148,0.09403935185185185,0.13230769230769232,0.10886075949367088,0.11944444444444445,0.09212675596210389,0.12109815751120956,0.11429398148148148,0.006804176029728076
MuQ,muq_multitask,vibrato,2,115,0.033275462962962965,0.03125,0.027777777777777776,0.02608695652173913,0.026905829596412557,0.031427716252618976,0.05381165344378112,0.033275462962962965,0.020536190480818152
Adjusted MuQ,muq_multitask_inner_prior_adjusted,chest_resonance,0,112,0.032407407407407406,0.09664351851851852,0.06287425149700598,0.1875,0.09417040358744394,0.09360047846889952,0.05212804098239219,0.032407407407407406,0.019720633574984783
Adjusted MuQ,muq_multitask_inner_prior_adjusted,head_resonance,0,145,0.04195601851851852,0.06655092592592593,0.05217391304347826,0.08275862068965517,0.064,0.06584113560857748,0.05214017604120395,0.04195601851851852,0.010184157522685436
Adjusted MuQ,muq_multitask_inner_prior_adjusted,front_placement,2,268,0.0775462962962963,0.15943287037037038,0.10526315789473684,0.21641791044776118,0.14163614163614163,0.15464240903387705,0.09742367469719139,0.0775462962962963,0.019877378400895096
Adjusted MuQ,muq_multitask_inner_prior_adjusted,back_placement,2,128,0.037037037037037035,0.10648148148148148,0.04891304347826087,0.140625,0.07258064516129033,0.10516826923076923,0.051739011178709216,0.037037037037037035,0.01470197414167218
Adjusted MuQ,muq_multitask_inner_prior_adjusted,open_throat,3,54,0.015625,0.018518518518518517,0.015625,0.018518518518518517,0.01694915254237288,0.018518518518518517,0.026727973046165428,0.015625,0.011102973046165428
Adjusted MuQ,muq_multitask_inner_prior_adjusted,breathiness,1,395,0.11429398148148148,0.2427662037037037,0.11084624553039332,0.23544303797468355,0.1507293354943274,0.24371120548840247,0.11196577470396002,0.11429398148148148,-0.002328206777521463
Adjusted MuQ,muq_multitask_inner_prior_adjusted,vibrato,2,115,0.033275462962962965,0.0798611111111111,0.08695652173913043,0.20869565217391303,0.12276214833759591,0.07542651900628554,0.05734060633007244,0.033275462962962965,0.024065143367109472
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,chest_resonance,0,112,0.032407407407407406,0.11140046296296297,0.06493506493506493,0.22321428571428573,0.1006036217303823,0.1076555023923445,0.06380474434823186,0.032407407407407406,0.03139733694082445
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,head_resonance,0,145,0.04195601851851852,0.032407407407407406,0.07142857142857142,0.05517241379310345,0.0622568093385214,0.03141045001510118,0.05688579115004584,0.04195601851851852,0.014929772631527324
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,front_placement,2,268,0.0775462962962963,0.1495949074074074,0.11411992263056092,0.22014925373134328,0.1503184713375796,0.14366373902132998,0.09346835292098316,0.0775462962962963,0.01592205662468686
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,back_placement,2,128,0.037037037037037035,0.1724537037037037,0.06543624161073826,0.3046875,0.10773480662983426,0.16736778846153846,0.06750061936508825,0.037037037037037035,0.030463582328051214
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,open_throat,3,54,0.015625,0.07002314814814815,0.01652892561983471,0.07407407407407407,0.02702702702702703,0.06995884773662552,0.017522369791117258,0.015625,0.001897369791117258
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,breathiness,1,395,0.11429398148148148,0.3275462962962963,0.12102473498233215,0.3468354430379747,0.17943680419122462,0.32505717085919633,0.11862416580532122,0.11429398148148148,0.004330184323839734
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,vibrato,2,115,0.033275462962962965,0.07233796296296297,0.036,0.0782608695652174,0.049315068493150684,0.0721340915893445,0.03863908306499865,0.033275462962962965,0.005363620102035685
