target,selected_tau,selection_count
back_placement,0.0,3
back_placement,0.25,7
back_placement,0.5,10
back_placement,0.75,7
back_placement,1.0,3
breathiness,0.0,7
breathiness,0.25,8
breathiness,0.5,8
breathiness,0.75,4
breathiness,1.0,3
chest_resonance,0.0,8
chest_resonance,0.25,8
chest_resonance,0.5,8
chest_resonance,0.75,4
chest_resonance,1.0,2
front_placement,0.0,1
front_placement,0.25,7
front_placement,0.5,8
front_placement,0.75,9
front_placement,1.0,5
head_resonance,0.0,11
head_resonance,0.25,11
head_resonance,0.5,3
head_resonance,0.75,3
head_resonance,1.0,2
open_throat,0.0,8
open_throat,0.25,5
open_throat,0.5,11
open_throat,0.75,4
open_throat,1.0,2
vibrato,0.0,8
vibrato,0.25,9
vibrato,0.5,5
vibrato,0.75,5
vibrato,1.0,3
